actor_name,movie_title
Joseph Gordon-Levitt,The Dark Knight Rises
Scarlett Johansson,Avengers: Age of Ultron
Scarlett Johansson,The Avengers
Hugh Jackman,X-Men: Days of Future Past
Joseph Gordon-Levitt,Inception
Scarlett Johansson,The Avengers
Scarlett Johansson,The Prestige
Kristen Stewart,What Just Happened
Johnny Depp,Pirates of the Caribbean: At World's End
Tom Hardy,The Dark Knight Rises
Chris Hemsworth,Avengers: Age of Ultron
Kevin Spacey,Superman Returns
Johnny Depp,Pirates of the Caribbean: Dead Man's Chest
Johnny Depp,The Lone Ranger
Chris Hemsworth,The Avengers
Johnny Depp,Pirates of the Caribbean: On Stranger Tides
Leonardo DiCaprio,Titanic
Robert Downey Jr.,Captain America: Civil War
Robert Downey Jr.,Iron Man 3
Johnny Depp,Alice in Wonderland
Hugh Jackman,X-Men: The Last Stand
Christian Bale,Terminator Salvation
Jason Statham,Furious 7
Jennifer Lawrence,X-Men: Days of Future Past
Leonardo DiCaprio,The Great Gatsby
Channing Tatum,Jupiter Ascending
Jennifer Lawrence,X-Men: Apocalypse
Christian Bale,The Dark Knight
Robert Downey Jr.,Iron Man
Joseph Gordon-Levitt,G.I. Joe: The Rise of Cobra
Scarlett Johansson,The Jungle Book
Robert Downey Jr.,Iron Man 2
Chris Hemsworth,Snow White and the Huntsman
Keanu Reeves,47 Ronin
Scarlett Johansson,Captain America: The Winter Soldier
Leonardo DiCaprio,Inception
Jennifer Lawrence,X-Men: First Class
Jennifer Lawrence,The Hunger Games: Mockingjay - Part 2
Johnny Depp,Alice Through the Looking Glass
Johnny Depp,Charlie and the Chocolate Factory
Christian Bale,Batman Begins
Hugh Jackman,X-Men Origins: Wolverine
Chris Hemsworth,Thor: The Dark World
Tom Hardy,Mad Max: Fury Road
Chris Hemsworth,Thor
Johnny Depp,Dark Shadows
Channing Tatum,White House Down
Hugh Jackman,Flushed Away
Hugh Jackman,Pan
Hugh Jackman,Rise of the Guardians
Christian Bale,Exodus: Gods and Kings
Chris Hemsworth,Star Trek
Channing Tatum,G.I. Joe: Retaliation
Leonardo DiCaprio,The Revenant
Johnny Depp,Rango
Jennifer Lawrence,The Hunger Games: Catching Fire
Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl
Jennifer Lawrence,The Hunger Games: Mockingjay - Part 1
Hugh Jackman,X-Men 2
Robert Downey Jr.,Sherlock Holmes: A Game of Shadows
Natalie Portman,Star Wars: Episode III - Revenge of the Sith
Natalie Portman,Star Wars: Episode II - Attack of the Clones
Hugh Jackman,The Wolverine
Natalie Portman,Star Wars: Episode I - The Phantom Menace
Chris Hemsworth,The Huntsman: Winter's War
Leonardo DiCaprio,The Aviator
Hugh Jackman,Real Steel
Scarlett Johansson,The Island
Johnny Depp,Public Enemies
Denzel Washington,American Gangster
Denzel Washington,The Taking of Pelham 1 2 3
Robert De Niro,Little Fockers
Leonardo DiCaprio,Django Unchained
Jason Statham,The Expendables 2
Hugh Jackman,Pan
Johnny Depp,The Tourist
Leonardo DiCaprio,Blood Diamond
Leonardo DiCaprio,The Wolf of Wall Street
Joseph Gordon-Levitt,Treasure Planet
Jason Statham,The Expendables 3
Chris Hemsworth,In the Heart of the Sea
Leonardo DiCaprio,Gangs of New York
Christian Bale,The Flowers of War
Johnny Depp,Transcendence
Denzel Washington,Unstoppable
Leonardo DiCaprio,The Departed
Robert Downey Jr.,Tropic Thunder
Robert Downey Jr.,Sherlock Holmes
Denzel Washington,Safe House
Kristen Stewart,Jumper
Robert Downey Jr.,Zodiac
Jason Statham,The Expendables
Jennifer Lawrence,The Hunger Games
Keanu Reeves,Something's Gotta Give
Leonardo DiCaprio,Shutter Island
Denzel Washington,The Book of Eli
Keanu Reeves,The Day the Earth Stood Still
Denzel Washington,The Manchurian Candidate
Hugh Jackman,Swordfish
Natalie Portman,Mars Attacks!
Robert De Niro,The Adventures of Rocky & Bullwinkle
Hugh Jackman,X-Men
Robert De Niro,Shark Tale
Tom Selleck,Killers
Denzel Washington,The Siege
Channing Tatum,The Dilemma
Jason Statham,Killer Elite
Chris Hemsworth,Blackhat
Robert De Niro,The Score
Leonardo DiCaprio,Body of Lies
Joseph Gordon-Levitt,Lincoln
Keanu Reeves,The Matrix
Hugh Jackman,Les Misérables
Robert Downey Jr.,Due Date
Tom Hardy,This Means War
Jason Statham,Death Race
Kristen Stewart,Zathura: A Space Adventure
Joseph Gordon-Levitt,Sin City: A Dame to Kill For
Robert De Niro,Meet the Fockers
Denzel Washington,2 Guns
Jason Statham,The Italian Job
Scarlett Johansson,The Horse Whisperer
Denzel Washington,Man on Fire
Robert Downey Jr.,The Shaggy Dog
Jennifer Lawrence,Joy
Christian Bale,Reign of Fire
Ryan Gosling,Gangster Squad
Tom Hardy,Star Trek: Nemesis
Robert De Niro,Analyze That
Robert De Niro,Righteous Kill
Robert Downey Jr.,The Soloist
Chris Hemsworth,The Avengers
Scarlett Johansson,The Black Dahlia
Scarlett Johansson,The Spirit
Johnny Depp,Mortdecai
Jason Statham,In the Name of the King: A Dungeon Siege Tale
Keanu Reeves,The Devil's Advocate
Christian Bale,Captain Corelli's Mandolin
Robert De Niro,Meet the Parents
Christian Bale,Pocahontas
Denzel Washington,The Equalizer
Denzel Washington,Crimson Tide
Robert Downey Jr.,Bowfinger
Robert De Niro,Ronin
Keanu Reeves,Chain Reaction
Robert De Niro,The Fan
Christian Bale,Shaft
Johnny Depp,Black Mass
Robert Downey Jr.,Lucky You
Leonardo DiCaprio,Catch Me If You Can
Robert De Niro,Casino
Channing Tatum,22 Jump Street
